reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
30610-13662,0,Heavy Truck,front left+front right,rear+rear right,no injury/property damage,0.00,Truck reversed into stopped AV
30610-13661,1,Pickup Truck,rear left+rear right,front+front right,no injury/property damage,0.00,AV braked for debris and was rear-ended by merging pickup
30610-13660,1,Passenger Car,front,rear left,no injury/property damage,0.05,Other cars made illegal right turn across AV path
30270-13511,0,Van,rear,right,no injury/property damage,0.05,Passing van struck stationary AV during overtake
30270-13308,35,Pickup Truck,rear,front left,no injury/property damage,0.05,Pickup changed back into AV lane while passing
30270-13557,0,Heavy Truck,front right,rear right,no injury/property damage,0.00,Heavy truck reversed into stationary AV
30270-13549,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended stationary AV at red light
30270-13554,0,Heavy Truck,rear right,front right,no injury/property damage,0.00,Heavy truck rolled forward into stationary AV
30270-13564,0,Non-Motorist: Scooter - Skateboard,rear left,unknown,no injury/property damage,0.00,Scooter struck AV while AV was stopped yielding to pedestrians
30270-13548,12,Heavy Truck,rear,front left,no injury/property damage,0.10,Box truck crossed solid line into AV turn path
30270-13515,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Vehicle ahead reversed into stationary AV
30270-13510,15,Passenger Car,rear left,front,no injury/property damage,0.50,Both vehicles changed lanes into each other
30270-13453,0,Bus,front right,rear right,no injury/property damage,0.00,Bus reversed into stationary AV
30270-13450,0,SUV,rear,right,no injury/property damage,0.00,Passing SUV sideswiped parked AV
30270-13451,0,Pickup Truck,rear,rear,no injury/property damage,0.00,Passing pickup struck stationary AV on narrow street
30270-13420,1,SUV,rear right,front right,no injury/property damage,0.05,SUV from behind struck AV after stop-sign slowdown
30270-13410,0,Pickup Truck,front right,rear,no injury/property damage,0.00,Pickup reversing to park struck stationary AV
30270-13448,0,Van,front,rear,no injury/property damage,0.00,Van reversed into stationary AV
30270-13403,13,SUV,front,front left,no injury/property damage,0.10,Other SUV crossed dashed line during parallel left turn
30270-13405,12,Passenger Car,rear left,front,no injury/property damage,0.15,Counterpart went straight from right-turn-only lane
30270-13409,20,SUV,rear,front left,no injury/property damage,0.10,Other SUV crossed dashed line during parallel left turn
30270-13395,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stationary AV
30270-13454,3,"Other, see Narrative",front,right,no injury/property damage,1.00,AV moved left to merge while cable car was passing
30270-13340,0,Pickup Truck,rear left,rear,no injury/property damage,0.00,Pickup reversed from driveway into stationary AV
30270-13307,9,Pickup Truck,front,front left,no injury/property damage,0.10,Pickup turned across AV curbside right-turn path
30270-13489,1,Heavy Truck,front right,rear right,no injury/property damage,0.20,Truck continued reversing into AV despite AV reverse attempt
30270-13401,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Vehicle ahead reversed into stationary AV
30270-13400,0,Passenger Car,rear,left,no injury/property damage,0.00,Oncoming car passing left struck stationary AV
30270-13408,0,Passenger Car,rear,right,no injury/property damage,0.00,Car changing lanes to pass struck stationary AV
30270-13416,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stationary AV
30270-13331,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended stationary AV at flashing red
30270-13361,0,Heavy Truck,rear,front,no injury/property damage,0.00,Turning heavy truck crossed centerline into stationary AV
30270-13327,0,Heavy Truck,front right,rear right,no injury/property damage,0.00,Heavy truck trailer reversed into stationary AV
30270-13309,0,Passenger Car,rear,front left,no injury/property damage,0.00,Passing car hit parked AV during maneuver-around
30270-13323,0,SUV,front,rear left,no injury/property damage,0.00,SUV reversed into stationary AV
30270-13322,0,Motorcycle,left,front right,no injury/property damage,0.00,E-bike entered stop-controlled intersection and hit stationary AV
30270-13321,0,Motorcycle,right,front,no injury/property damage,0.00,AV passenger door opening contributed to motorcycle contact
30270-13279,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stationary AV in queue
30270-13445,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Parallel-parking car reversed into parked AV
13781-13647,17,Other Fixed Object,bottom,unknown,no injury/property damage,0.90,Redacted narrative and crash with fixed object while AV proceeding
